674198235;0;0;0;0;100;0;0;0;0
5;37;26;26;25;11;40;30;26;31
56;28;48;27;33;0;12;41;49;23
561;14;14;22;17;0;0;17;14;24
5617;0;0;0;0;0;0;0;0;100
56178;0;20;20;20;0;0;0;20;20
561782;0;0;0;0;0;0;0;0;100
5617829;0;0;33;33;0;0;0;0;33
96;30;26;27;29;37;12;40;30;0
968;19;22;14;14;23;0;26;14;0
9682;0;0;0;0;0;0;100;0;0
96823;20;0;20;26;24;0;20;0;0
968234;25;0;0;25;32;0;25;0;0
9682345;33;0;0;0;33;0;33;0;0
96823457;100;0;0;0;0;0;50;0;0
968234571;100;0;0;0;0;0;0;0;0
4;24;27;28;11;28;27;32;26;25
45;33;28;26;0;12;27;24;25;32
457;18;23;24;0;0;22;14;26;22
4578;100;22;28;0;0;22;0;16;16
45789;0;100;0;0;0;0;0;0;0
457892;25;25;25;0;0;25;0;0;0
17;0;32;36;32;27;25;12;27;25
176;0;22;26;21;22;14;0;24;25
1763;0;32;16;20;16;0;0;24;22
17638;0;24;0;20;20;0;0;20;26
176389;0;25;0;32;25;0;0;0;25
1763894;0;33;0;33;33;0;0;0;0
17638942;0;0;0;0;100;0;0;0;0
176389425;0;0;0;0;100;0;0;0;0
48;34;24;26;0;27;31;25;12;25
486;21;28;14;0;23;14;14;0;18
4865;21;27;16;0;16;0;16;0;19
48659;20;20;20;0;0;0;20;0;20
486591;0;0;100;0;0;0;0;0;0
4865913;0;33;33;0;0;0;33;0;0
95;27;24;23;27;12;44;29;29;0
956;22;19;21;22;0;14;34;32;0
9567;16;28;16;16;0;0;16;36;0
95672;20;20;20;24;0;0;0;24;0
956724;0;0;100;0;0;0;0;0;0
9567241;0;0;100;0;0;0;0;0;0
95672413;0;0;50;0;0;0;0;50;0
3;30;31;11;27;29;25;24;30;30
36;22;29;0;29;22;12;43;26;25
365;20;26;0;14;14;0;22;21;19
3654;0;0;0;0;0;0;100;0;0
36547;20;20;0;0;0;0;20;20;20
41;12;30;23;0;25;26;28;30;26
415;0;14;17;0;14;30;19;19;14
4153;0;0;0;0;0;100;0;0;0
41539;0;100;0;0;0;0;0;0;0
415392;0;25;0;0;0;25;25;25;0
25;29;0;22;25;12;30;22;25;28
254;25;0;22;14;0;27;18;25;25
2547;16;0;22;0;0;16;16;16;16
25473;20;0;20;0;0;26;0;20;20
254736;25;0;0;0;0;25;0;32;25
2547368;33;0;0;0;0;0;0;33;33
25473689;100;0;0;0;0;0;0;0;50
254736891;100;0;0;0;0;0;0;0;0
47;21;25;24;0;21;32;12;34;24
471;14;25;17;0;23;19;0;17;28
4712;0;16;27;0;22;16;0;30;16
47128;0;0;20;0;20;20;0;20;32
471289;0;0;32;0;32;32;0;0;25
4712895;0;0;33;0;33;33;0;0;0
47128956;0;0;100;0;0;0;0;0;0
471289563;0;0;100;0;0;0;0;0;0
679;26;14;17;22;20;0;0;14;14
6792;0;0;100;0;0;0;0;0;0
67923;20;0;20;20;20;0;0;20;0
54;25;23;25;12;0;26;21;31;24
546;22;26;21;0;0;14;26;28;24
5469;22;22;24;0;0;0;16;26;16
